,,Drive link,,https://drive.google.com/drive/folders/1Cf_9QcL_JWkFfgyOeXVFY0yE4dSmdVrL?usp=drive_link,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Post No,Date,Format,Content Type,Content,HOOK,CTA,Drive Shoot Link,Notes,Remarks,Creative Link
,,1,2 June 2026,Image,Disha Gandhi,,,,,,Posting Done,
,,2,3 June 2026,Reel,Doctor Reel: Nirav,,,,https://drive.google.com/drive/folders/12NAUq7eBvpoWFa8WGQ9DeTjZk2aLo_qG,,Posting Done,
,,3,8 June 2026,Reel,Therapist - Namrata Lakhwani,cancer rehab ,,,,,Posting Done,
,Extra,4,9 June 2026,Reel,Podcast,Only questions,,,,,Posting Done,
,Extra,5,10 June 2026,Reel,Podcast,small Glimps ,,,,,Posting Done,
,,6,11 June 2026,Reel,Testimonials,,,,,,Posting Done,
,,7,27 May 2026,Reel,Expert Insights / Doctor Advice,"Doctor Reel:
Himali Parikh",,,https://drive.google.com/drive/folders/1JlQ1m_YDgvoAMbkV9EHmGnH5vzpi5PVN?usp=drive_link,,Undone,
,,8,28 May 2026,Image,Early Signs Awareness,Parent Pain Point Creative,,,,,Undone,
,,9,29 May 2026,Reel,Child Transformation Story / Testimonial,Preeti Dubey,,,https://drive.google.com/file/d/1Ka7SoaTc6ISSbAf-tcUhnYljlMQ4S84j/view?usp=drive_link,,Undone,
,,10,30 May 2026,Reel,Therapy in Action / Behind The Progress,ADHD - Disha Gandhi,,,https://drive.google.com/drive/folders/1hWaki4zSHsypEyCpxrt-SCXtE8PiuJ3m?usp=drive_link,,Undone,
,,11,31 May 2026,Carousel,Parent Education / Awareness,Signs Your Child May Need Assessment,,,,,Undone,
,,12,1 June 2026,Reel,Parent Education / Milestone Awareness,Special Education,,,https://drive.google.com/drive/folders/12N_6KxwiLYQ9PXI1CIY0bWRaI9MP23LG,,Undone,
,,13,2 June 2026,Reel,Expert Insights / Doctor Advice,"Doctor Reel:
Shridher joshi",,,https://drive.google.com/file/d/1G3J1Bzpls0Ozr1hf8ZDcL9RDU1m-4ly4/view?usp=drive_link,,Undone,
,,14,3 June 2026,Reel,Assessment / Screening / Camp Promotion,fun Activity,,,https://drive.google.com/drive/folders/1mCp_fB8UVorSP-cWBx4uedqi3Nyu7zjN,,Undone,
,,15,4 June 2026,Reel,Service Pitch,Why Choose RDCC?,,,use stock,,,
,,16,5 June 2026,Reel,Therapy in Action / Behind The Progress,Therapist,,,,,,
,,17,6 June 2026,Image,Myth vs Fact,,,,,,,
,,18,7 June 2026,Reel,Assessment / Screening / Camp Promotion,speech & language Therapy,,,https://drive.google.com/drive/folders/1BREpylejIBAmB05hAmy_aQ9Os5pxXl1i?usp=drive_link,,,
,,19,8 June 2026,Reel,Expert Insights / Doctor Advice,"Doctor Reel:
Himali Parikh",,,https://drive.google.com/drive/folders/1b-R7oT2uaYs23_HWs1KCBGWJC2lvWCmJ,,,
,,20,9 June 2026,Carousel,"Parent Guidance
",,,,,,,
,,21,10 June 2026,Reel,Child Transformation Story / Testimonial,,,,https://drive.google.com/file/d/1YI39LoEwwiNmg0uwcpvW7WUBcrvQ-X1U/view?usp=drive_link,,,
