??  BARDBOX AGENCY — PRODUCTION SCHEDULE  |  May 2026  |  Capacity-Packed  |  Long Videos Blocked,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  ?  Abhishek done by 28 May  |  ?  Jignesh done by 29 May  |  ?  Dhairya done by 21 May  |    ?? Long Videos blocked (Wed+Thu Abhishek)  •  ?? BW Long + Story Videos (Jignesh Mon–Fri as assigned)  •  ??? Graphic max 8 slots/day,,,,,,,,,,,,,,,,,,,,,
??  ABHISHEK  |  Motion  |  3 Reels/day  |  Bizcivitas Long Video every Wed+Thu  |  Done: 28 May 2026,,,,,,,,,??  JIGNESH  |  Motion  |  3 Reels/day  |  Story Films W1-W2  •  BW Long Thu+Fri  |  Done: 29 May 2026,,,,,,,???  DHAIRYA  |  Graphic  |  2 Carousels+1 Static/day  |  Done: 21 May 2026,,,,,
Date,Day,Task,Client,Type,Prio,Post Date,Cap,,Task,Client,Type,Prio,Post Date,Cap,,Task,Client,Type,Prio,Post Date,Cap
4 May,MON,You're Not Stuck,Bizcivitas,[RL] Reel,?? High,4 May,100%,,??  Story Film V4 — Why Serious Entrepreneurs Are Choosing BizCivitas  [Day 1 Edit],Bizcivitas,[SV] Long Video,?? High,2.5–3 min premium film | City skyline opening | Full script ready,100%,,Many Founders Tired From Work — Truth Bomb,Brand Whisperer,[SP] Static Po,?? High,4 May,100%
,,Is Your Child 2+ Still Not Speaking?,RDCC,[RL] Reel,?? High,4 May,,,,,,,,,,Why Good Businesses Stay Small,Bardbox,[CR] Carousel,?? High,4 May,
,,Fewer Confused Decisions,Brand Whisperer,[RL] Reel,?? High,6 May,,,,,,,,,,Your Friends Decide Your Future,Bizcivitas,[CR] Carousel,?? High,5 May,
,,,,,,,,,,,,,,,,,,,,,
5 May,TUE,Speech Delay vs Late Talking,RDCC,[RL] Reel,?? High,7 May,100%,,LEAVE,,,,,,,Why Growth Feels Heavy,Brand Whisperer,[CR] Carousel,?? High,5 May,100%
,,No Business Cards Here,Bizcivitas,[RL] Reel,?? High,9 May,,,,,,,,,,5 Early Signs Parents Shouldn't Ignore,RDCC,[CR] Carousel,?? High,5 May,
,,Stop Saying Boys Speak Late,RDCC,[RL] Reel,?? High,11 May,,,,,,,,,,Market Isn't Ignoring You,Brand Whisperer,[SP] Static Po,?? High,11 May,
,,,,,,,,,,,,,,,,,,,,,
6 May,WED,??  Bizcivitas — Weekly Long Video (W1)  [Shoot Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,??  Story Film V4 — Why Serious Entrepreneurs Are Choosing BizCivitas  [Day 2 Edit],Bizcivitas,[SV] Long Video,?? High,2.5–3 min premium film | City skyline opening | Full script ready,100%,,Why Ads Fail,Bardbox,[CR] Carousel,?? High,7 May,100%
,,,,,,,,,,,,,,,,Signs You've Outgrown Your Circle,Bizcivitas,[CR] Carousel,?? High,8 May,
,,,,,,,,,,,,,,,,BardBox CTA — DM GROWTH,Bardbox,[SP] Static Po,?? High,15 May,
,,,,,,,,,,,,,,,,,,,,,
