#,Post Date,Type,Task Name,Priority,Caption,Hashtags,Deadline
1,2026-06-11,Reel,Parent Education / Milestone Awareness - Special Education,medium,Drive: https://drive.google.com/drive/folders/12N_6KxwiLYQ9PXI1CIY0bWRaI9MP23LG,,10:00
2,2026-06-12,Reel,"Expert Insights / Doctor Advice - Doctor Reel:
Shridher joshi",medium,Drive: https://drive.google.com/file/d/1G3J1Bzpls0Ozr1hf8ZDcL9RDU1m-4ly4/view?usp=drive_link,,10:00
3,2026-06-13,Reel,Assessment / Screening / Camp Promotion - fun Activity,medium,Drive: https://drive.google.com/drive/folders/1mCp_fB8UVorSP-cWBx4uedqi3Nyu7zjN,,10:00
4,2026-06-15,Reel,Service Pitch - Why Choose RDCC?,medium,Drive: use stock,,10:00
5,2026-06-16,Reel,Therapy in Action / Behind The Progress - Therapist,medium,,,10:00
6,2026-06-17,Static Post,Myth vs Fact,medium,,,10:00
7,2026-06-18,Reel,Assessment / Screening / Camp Promotion - speech & language Therapy,medium,Drive: https://drive.google.com/drive/folders/1BREpylejIBAmB05hAmy_aQ9Os5pxXl1i?usp=drive_link,,10:00
8,2026-06-19,Reel,"Expert Insights / Doctor Advice - Doctor Reel:
Himali Parikh",medium,Drive: https://drive.google.com/drive/folders/1b-R7oT2uaYs23_HWs1KCBGWJC2lvWCmJ,,10:00
9,2026-06-22,Carousel,Parent Guidance,medium,,,10:00
10,2026-06-23,Reel,Child Transformation Story / Testimonial,medium,Drive: https://drive.google.com/file/d/1YI39LoEwwiNmg0uwcpvW7WUBcrvQ-X1U/view?usp=drive_link,,10:00
