#,Post Date,Type,Task Name,Priority,Caption,Hashtags,Deadline
1,2026-06-01,Reel,Parent Education / Milestone Awareness - Special Education,medium,"Drive: https://drive.google.com/drive/folders/12N_6KxwiLYQ9PXI1CIY0bWRaI9MP23LG
Source status: Undone",,10:00
2,2026-06-02,Reel,"Expert Insights / Doctor Advice - Doctor Reel:
Shridher joshi",medium,"Drive: https://drive.google.com/file/d/1G3J1Bzpls0Ozr1hf8ZDcL9RDU1m-4ly4/view?usp=drive_link
Source status: Undone",,10:00
3,2026-06-03,Reel,Assessment / Screening / Camp Promotion - fun Activity,medium,"Drive: https://drive.google.com/drive/folders/1mCp_fB8UVorSP-cWBx4uedqi3Nyu7zjN
Source status: Undone",,10:00
4,2026-06-04,Reel,Service Pitch - Why Choose RDCC?,medium,Drive: use stock,,10:00
5,2026-06-05,Reel,Therapy in Action / Behind The Progress - Therapist,medium,,,10:00
6,2026-06-08,Static Post,Myth vs Fact,medium,Original source date: 2026-06-06,,10:00
7,2026-06-08,Reel,Assessment / Screening / Camp Promotion - speech & language Therapy,medium,"Drive: https://drive.google.com/drive/folders/1BREpylejIBAmB05hAmy_aQ9Os5pxXl1i?usp=drive_link
Original source date: 2026-06-07",,10:00
8,2026-06-08,Reel,"Expert Insights / Doctor Advice - Doctor Reel:
Himali Parikh",medium,Drive: https://drive.google.com/drive/folders/1b-R7oT2uaYs23_HWs1KCBGWJC2lvWCmJ,,10:00
9,2026-06-09,Carousel,Parent Guidance,medium,,,10:00
10,2026-06-10,Reel,Child Transformation Story / Testimonial,medium,Drive: https://drive.google.com/file/d/1YI39LoEwwiNmg0uwcpvW7WUBcrvQ-X1U/view?usp=drive_link,,10:00
